Distance_(µm),Gray_Value
155.871,198.2038
156.313,197.6254
156.754,202.6066
157.196,199.3793
157.637,200.9494
158.079,201.6714
158.520,203.0542
158.962,198.3498
159.404,200.4005
159.845,198.4865
160.287,204.0212
160.728,199.3345
161.170,196.6761
161.611,195.1413
162.053,196.5147
162.495,199.9494
162.936,199.5701
163.378,197.5277
163.819,201.4523
164.261,202.8033
164.702,204.3416
165.144,206.0813
165.585,205.0342
166.027,200.2332
166.469,199.9753
166.910,200.3498
167.352,204.0813
167.793,205.8657
168.235,202.2320
168.676,202.0683
169.118,200.9647
169.559,203.8386
170.001,202.9234
170.443,199.0636
170.884,203.1955
171.326,198.6478
171.767,198.0283
172.209,198.8622
172.650,199.1095
173.092,199.6113
173.534,198.6125
173.975,200.6608
174.417,202.5677
174.858,200.5736
175.300,201.9458
175.741,196.1555
176.183,204.4181
176.624,202.1566
177.066,202.1708
177.508,202.1826
177.949,204.2485
178.391,207.3051
178.832,207.9529
179.274,205.7232
179.715,205.1590
180.157,206.5442
180.599,206.9835
181.040,203.6266
181.482,202.6690
181.923,203.8092
182.365,208.8822
182.806,206.5194
183.248,207.6749
183.689,202.7350
184.131,201.9329
184.573,202.8928
185.014,202.0306
185.456,202.6113
185.897,203.6219
186.339,203.0601
186.780,206.4817
187.222,204.0577
187.663,207.5124
188.105,201.7409
188.547,200.7527
188.988,202.5029
189.430,198.9623
189.871,199.4252
190.313,203.6066
190.754,200.5724
191.196,204.3428
191.638,202.5300
192.079,203.6667
192.521,202.3333
192.962,205.6514
193.404,203.8869
193.845,205.7574
194.287,204.8834
194.728,202.0919
195.170,201.4005
195.612,204.2909
196.053,201.6490
196.495,202.6926
196.936,201.0424
197.378,207.2014
197.819,202.0000
198.261,206.5960
198.703,206.4488
199.144,203.3557
199.586,205.3121
200.027,206.8469
200.469,206.8469
200.910,208.6667
201.352,206.9764
201.793,206.1472
202.235,204.8857
202.677,204.7267
203.118,203.5406
203.560,201.2038
204.001,203.6160
204.443,209.5159
204.884,208.1649
205.326,207.6808
205.768,204.7373
206.209,204.4959
206.651,201.5548
207.092,203.9340
207.534,204.0012
207.975,212.6172
208.417,209.7338
208.858,204.2697
209.300,207.2756
209.742,208.9988
210.183,202.8092
210.625,207.3404
211.066,201.0188
211.508,197.2320
211.949,204.6608
212.391,201.9741
212.832,198.0294
213.274,205.3157
213.716,208.1826
214.157,207.9800
214.599,202.6879
215.040,207.5630
215.482,202.9022
215.923,211.3486
216.365,209.3722
216.807,203.0530
217.248,206.4405
217.690,207.6302
218.131,208.0542
218.573,213.0082
219.014,207.3981
219.456,210.7915
219.897,202.7126
220.339,200.3804
220.781,201.7208
221.222,204.5877
221.664,204.8045
222.105,209.6054
222.547,202.8233
222.988,199.3333
223.430,203.8492
223.872,206.0719
224.313,202.7103
224.755,204.1637
225.196,205.8198
225.638,203.7479
226.079,208.2332
226.521,209.1849
226.962,206.5713
227.404,205.8975
227.846,205.0789
228.287,206.0907
228.729,207.0412
229.170,203.3793
229.612,207.0459
230.053,211.7738
230.495,204.8139
230.936,205.7939
231.378,206.1296
231.820,203.3993
232.261,208.3192
232.703,209.1449
233.144,209.5265
233.586,207.7232
234.027,210.7762
234.469,212.8009
234.911,207.2120
235.352,206.8233
235.794,201.5560
236.235,207.8551
236.677,208.4511
237.118,209.7538
237.560,207.3581
238.001,211.4405
238.443,211.5948
238.885,213.8598
239.326,209.9588
239.768,209.6266
240.209,209.7208
240.651,207.2250
241.092,209.4841
241.534,205.3899
241.976,207.2968
242.417,206.2273
242.859,209.8056
243.300,212.8116
243.742,210.9234
244.183,206.7621
244.625,209.0989
245.066,213.7868
245.508,208.9929
245.950,210.4441
246.391,206.2709
246.833,207.3204
247.274,205.9140
247.716,208.0448
248.157,207.5713
248.599,212.4441
249.040,214.2179
249.482,212.6254
249.924,206.6667
250.365,215.3333
250.807,213.7691
251.248,212.4817
251.690,211.9046
252.131,212.4982
252.573,212.6796
253.015,215.9164
253.456,211.4723
253.898,213.5878
254.339,208.5983
254.781,217.0023
255.222,217.0106
255.664,221.4758
256.105,212.1154
256.547,216.4841
256.989,210.7986
257.430,212.5642
257.872,211.6643
258.313,215.9435
258.755,212.5053
259.196,216.5194
259.638,216.4806
260.080,215.5630
260.521,212.7809
260.963,212.8245
261.404,210.8351
261.846,212.2285
262.287,211.5901
262.729,211.8481
263.170,214.6667
263.612,218.3675
264.054,218.6514
264.495,216.6254
264.937,209.7951
265.378,211.4028
265.820,214.1826
266.261,215.2262
266.703,208.2002
267.145,211.4511
267.586,212.3581
268.028,209.7562
268.469,214.2815
268.911,219.7821
269.352,214.7256
269.794,215.4146
270.235,214.2638
270.677,211.4335
271.119,208.5830
271.560,213.7680
272.002,212.0789
272.443,217.0000
272.885,215.2839
273.326,211.0141
273.768,213.7738
274.209,216.9458
274.651,211.2591
275.093,212.1696
275.534,213.9706
275.976,216.7656
276.417,215.0000
276.859,216.9764
277.300,215.1991
277.742,215.7444
278.184,212.0813
278.625,216.0000
279.067,213.8033
279.508,214.9329
279.950,214.7114
280.391,219.0754
280.833,217.3828
281.274,216.5936
281.716,213.4252
282.158,214.7597
282.599,216.4229
283.041,218.3192
283.482,215.7998
283.924,217.9529
284.365,214.8080
284.807,214.4829
285.249,216.0283
285.690,217.6290
286.132,209.8080
286.573,214.8763
287.015,216.2297
287.456,215.0342
287.898,213.6301
288.339,213.0000
288.781,214.6254
289.223,212.5925
289.664,214.6549
290.106,212.8316
290.547,209.4017
290.989,214.3333
291.430,212.7244
291.872,214.2674
292.313,213.1260
292.755,214.8704
293.197,213.1519
293.638,219.2992
294.080,217.2097
294.521,215.9965
294.963,213.5289
295.404,216.9435
295.846,214.4229
296.288,215.6525
296.729,216.9635
297.171,211.8822
297.612,212.2191
298.054,213.2744
298.495,217.3180
298.937,220.5760
299.378,218.4641
299.820,220.3416
300.262,218.0059
300.703,217.3781
301.145,211.5665
301.586,212.2674
302.028,211.1272
302.469,215.9117
302.911,221.1637
303.353,224.9623
303.794,208.8316
304.236,209.2827
304.677,211.5571
305.119,216.8198
305.560,214.8610
306.002,213.6125
306.443,209.1637
306.885,215.2085
307.327,213.7185
307.768,218.0153
308.210,214.9435
308.651,218.1060
309.093,216.1720
309.534,217.2438
309.976,215.4252
310.417,214.6113
310.859,213.0801
311.301,216.7715
311.742,214.7962
312.184,216.4547
312.625,218.8704
313.067,214.2591
313.508,215.2097
313.950,222.2662
314.392,216.9446
314.833,215.9694
315.275,217.3157
315.716,219.4464
316.158,214.8846
316.599,218.8033
317.041,218.4264
317.482,223.3793
317.924,216.9670
318.366,218.5560
318.807,215.4747
319.249,218.3722
319.690,220.2415
320.132,220.1543
320.573,217.8869
321.015,223.5960
321.457,220.6525
321.898,223.6455
322.340,219.3145
322.781,217.8457
323.223,215.0660
323.664,219.8410
324.106,220.4441
324.547,222.8469
324.989,217.7350
325.431,220.7703
325.872,216.2368
326.314,222.6902
326.755,216.1731
327.197,218.7668
327.638,218.2933
328.080,223.2438
328.521,215.0000
328.963,220.7173
329.405,219.8575
329.846,222.8410
330.288,219.6702
330.729,219.4217
331.171,217.9187
331.612,217.5147
332.054,217.6620
332.496,224.3746
332.937,222.6502
333.379,221.4582
333.820,213.6337
334.262,215.8846
334.703,218.3357
335.145,219.5595
335.586,214.8056
336.028,215.2556
336.470,219.4935
336.911,223.1944
337.353,216.2992
337.794,215.7185
338.236,211.9293
338.677,214.7515
339.119,216.0094
339.561,213.6879
340.002,214.0919
340.444,220.1178
340.885,215.9682
341.327,216.4664
341.768,215.4782
342.210,215.1248
342.651,213.8975
343.093,229.4252
343.535,222.2356
343.976,214.5312
344.418,217.8846
344.859,222.1378
345.301,218.8857
345.742,223.6749
346.184,219.7256
346.625,217.4170
347.067,224.2250
347.509,219.0895
347.950,223.6961
348.392,219.4523
348.833,219.0542
349.275,219.2179
349.716,215.9564
350.158,215.9482
350.600,220.4535
351.041,221.3357
351.483,219.5406
351.924,220.7621
352.366,223.2615
352.807,220.8245
353.249,218.1508
353.690,215.9152
354.132,221.1920
354.574,219.4817
355.015,218.9046
355.457,218.7845
355.898,219.7091
356.340,221.7055
356.781,220.0424
357.223,221.9329
357.665,222.1213
358.106,225.4264
358.548,219.4123
358.989,217.2238
359.431,215.3734
359.872,218.8799
360.314,212.4900
360.755,218.8469
361.197,218.4782
361.639,221.1296
362.080,218.0506
362.522,218.9482
362.963,218.8869
363.405,223.0471
363.846,219.6231
364.288,218.5524
364.730,217.4770
365.171,219.0294
365.613,218.6537
366.054,222.1649
366.496,216.9199
366.937,217.5230
367.379,216.8068
367.820,216.3958
368.262,213.7314
368.704,218.0648
369.145,218.5359
369.587,219.3699
370.028,212.8775
370.470,212.8174
370.911,214.6313
371.353,217.9411
371.794,218.0448
372.236,219.2238
372.678,218.5807
373.119,219.2014
373.561,216.1237
374.002,221.7326
374.444,221.4570
374.885,221.0000
375.327,217.3746
375.769,221.8151
376.210,219.2473
376.652,221.5312
377.093,220.9140
377.535,216.8905
377.976,221.8587
378.418,221.7362
378.859,215.7774
379.301,217.1720
379.743,220.2768
380.184,221.7138
380.626,214.3451
381.067,213.7055
381.509,214.3816
381.950,219.5418
382.392,217.0872
382.834,213.3769
383.275,212.8799
383.717,212.4629
384.158,215.3981
384.600,216.3922
385.041,216.8163
385.483,219.6985
385.924,218.5088
386.366,215.3110
386.808,213.2238
387.249,214.9482
387.691,218.0000
388.132,219.4087
388.574,213.0106
389.015,211.6254
389.457,214.1767
389.898,219.7656
390.340,214.1790
390.782,215.6985
391.223,216.8021
391.665,216.9329
392.106,218.8469
392.548,221.3227
392.989,217.0283
393.431,216.3981
393.873,215.4393
394.314,216.9411
394.756,210.2144
395.197,209.6101
395.639,207.1001
396.080,211.6879
396.522,214.3133
396.963,216.4122
397.405,212.2462
397.847,216.8104
398.288,212.5183
398.730,205.5524
399.171,210.7208
399.613,218.9552
400.054,214.5135
400.496,214.4641
400.938,210.7479
401.379,219.6879
401.821,211.3157
402.262,207.7303
402.704,204.9223
403.145,209.1402
403.587,208.9741
404.028,214.3333
404.470,214.7527
404.912,216.8634
405.353,215.0978
405.795,217.5277
406.236,210.6985
406.678,215.2697
407.119,212.5371
407.561,216.0624
408.003,209.7197
408.444,208.0813
408.886,214.7314
409.327,222.0000
409.769,220.3180
410.210,220.9859
410.652,211.0130
411.093,208.0754
411.535,211.7197
411.977,212.7515
412.418,214.1708
412.860,217.0000
413.301,219.8481
413.743,219.7055
414.184,218.8657
414.626,219.4723
415.067,220.2473
415.509,223.5878
415.951,218.3663
416.392,220.3251
416.834,213.6148
417.275,210.9988
417.717,212.7338
418.158,221.1920
418.600,219.4276
419.042,216.4193
419.483,212.4888
419.925,218.4252
420.366,216.7150
420.808,218.8163
421.249,218.1849
421.691,220.7680
422.132,214.2556
422.574,214.5713
423.016,221.7550
423.457,222.9764
423.899,217.3039
424.340,218.7703
424.782,217.1284
425.223,223.3722
425.665,220.4299
426.107,216.5359
426.548,215.4900
426.990,218.6478
427.431,215.5724
427.873,217.8516
428.314,215.3074
428.756,217.9470
429.197,215.7032
429.639,215.7091
430.081,214.4217
430.522,221.7727
430.964,217.8115
431.405,218.3345
431.847,220.9823
432.288,221.4452
432.730,215.0259
433.171,222.1849
433.613,223.3922
434.055,221.5135
434.496,216.2921
434.938,217.9388
435.379,214.0754
435.821,213.1637
436.262,214.0000
436.704,218.5371
437.146,214.8952
437.587,215.3581
438.029,213.1048
438.470,216.4193
438.912,218.1248
439.353,223.7409
439.795,219.7562
440.236,220.6608
440.678,219.1720
441.120,216.2367
441.561,220.8716
442.003,226.1837
442.444,216.2933
442.886,216.6207
443.327,216.5560
443.769,213.8481
444.211,214.8610
444.652,216.5512
445.094,216.2014
445.535,218.0424
445.977,221.8587
446.418,223.9788
446.860,213.2544
447.301,216.6914
447.743,216.6938
448.185,213.7020
448.626,213.0872
449.068,218.3628
449.509,220.2403
449.951,215.8634
450.392,216.0495
450.834,220.9764
451.275,218.2792
451.717,216.1307
452.159,216.2144
452.600,215.6667
453.042,214.5406
453.483,219.8009
453.925,218.6184
454.366,220.8810
454.808,219.3793
455.250,219.9977
455.691,216.2980
456.133,217.7008
456.574,216.8080
457.016,217.7350
457.457,219.1272
457.899,221.4170
458.340,217.0000
458.782,220.3651
459.224,219.2756
459.665,220.7515
460.107,214.4523
460.548,217.0000
460.990,219.8033
461.431,220.8775
461.873,215.8245
462.315,216.7185
462.756,217.6596
463.198,216.5630
463.639,214.0565
464.081,221.9706
464.522,223.8233
464.964,221.8622
465.405,219.2120
465.847,225.7138
466.289,222.6396
466.730,222.0000
467.172,218.5088
467.613,220.8422
468.055,220.2191
468.496,223.7809
468.938,221.5277
469.379,221.8398
469.821,217.4099
470.263,218.3911
470.704,214.9517
471.146,211.9541
471.587,208.4170
472.029,213.8139
472.470,216.2002
472.912,224.0177
473.354,218.4523
473.795,220.0813
474.237,220.6961
474.678,221.0000
475.120,220.7185
475.561,218.7597
476.003,217.2238
476.444,215.2438
476.886,216.7621
477.328,222.6514
477.769,209.8857
478.211,213.9694
478.652,218.6042
479.094,219.9376
479.535,211.0683
479.977,215.2638
480.419,211.9611
480.860,211.3027
481.302,214.0389
481.743,217.0330
482.185,221.3227
482.626,228.1920
483.068,217.7397
483.509,215.4405
483.951,214.4382
484.393,218.5571
484.834,218.1590
485.276,217.0000
485.717,219.0271
486.159,218.3004
486.600,215.6773
487.042,215.0000
487.484,214.9741
487.925,214.8846
488.367,216.0224
488.808,216.9564
489.250,215.4276
489.691,215.3911
490.133,216.8528
490.574,217.5760
491.016,214.1790
491.458,220.9234
491.899,211.1826
492.341,211.8445
492.782,215.8127
493.224,219.5536
493.665,219.1661
494.107,217.4876
494.548,216.2968
494.990,215.2426
495.432,209.4229
495.873,214.1849
496.315,211.9965
496.756,208.7373
497.198,204.6796
497.639,205.0448
498.081,199.4653
498.523,191.0247
498.964,175.9670
499.406,165.9258
499.847,165.3333
