Distance_(µm),Gray_Value
0.000,169.3333
0.442,167.3074
0.883,167.6054
1.325,160.3899
1.767,168.1731
2.208,170.4193
2.650,164.5595
3.092,167.7656
3.533,172.7868
3.975,172.3486
4.417,183.0471
4.859,196.6926
5.300,202.8080
5.742,200.0000
6.184,199.8021
6.625,204.3333
7.067,207.3275
7.509,206.8257
7.950,203.6490
8.392,208.2839
8.834,198.4276
9.275,204.4323
9.717,203.4818
10.159,198.3663
10.600,206.5983
11.042,198.9812
11.484,201.7821
11.925,202.1884
12.367,197.9270
12.809,197.7868
13.251,198.4853
13.692,198.9588
14.134,200.2144
14.576,197.3663
15.017,202.0542
15.459,200.8316
15.901,198.4123
16.342,198.9128
16.784,200.8610
17.226,199.4723
17.667,199.1449
18.109,201.6419
18.551,196.3227
18.992,199.5230
19.434,202.6078
19.876,205.8481
20.318,203.8504
20.759,201.2203
21.201,201.5536
21.643,199.2945
22.084,200.6867
22.526,194.9882
22.968,197.3816
23.409,198.4181
23.851,203.1402
24.293,198.8893
24.734,203.1873
25.176,204.4723
25.618,202.7762
26.059,197.5559
26.501,194.4853
26.943,197.9423
27.384,198.9140
27.826,195.8858
28.268,196.8575
28.710,203.6490
29.151,201.5560
29.593,201.7727
30.035,200.7833
30.476,200.6667
30.918,199.3015
31.360,197.8386
31.801,200.5029
32.243,200.5265
32.685,201.4005
33.126,199.9128
33.568,199.3640
34.010,202.4853
34.451,202.8504
34.893,203.7609
35.335,198.3192
35.777,203.4782
36.218,199.0530
36.660,198.8622
37.102,198.2603
37.543,198.0695
37.985,199.4900
38.427,201.3062
38.868,202.9552
39.310,203.9623
39.752,198.3345
40.193,198.6196
40.635,195.6996
41.077,200.3333
41.518,198.6549
41.960,196.5665
42.402,202.8928
42.843,198.8952
43.285,196.8210
43.727,194.9988
44.169,199.0400
44.610,202.2862
45.052,200.7986
45.494,200.0589
45.935,200.7750
46.377,199.0000
46.819,199.5006
47.260,201.5854
47.702,201.9388
48.144,199.6714
48.585,199.2203
49.027,200.4711
49.469,200.4582
49.910,198.8681
50.352,198.9352
50.794,199.6867
51.235,194.9282
51.677,192.5453
52.119,198.5548
52.561,201.0153
53.002,198.3333
53.444,198.2992
53.886,202.8740
54.327,205.0283
54.769,204.5018
55.211,200.7220
55.652,196.3969
56.094,197.5041
56.536,201.7456
56.977,206.2450
57.419,197.0730
57.861,195.1119
58.302,201.2014
58.744,207.0000
59.186,204.9823
59.627,201.6207
60.069,201.2685
60.511,198.3227
60.953,201.9918
61.394,199.3628
61.836,201.3616
62.278,197.0082
62.719,203.6596
63.161,198.0283
63.603,200.6490
64.044,200.7079
64.486,192.8999
64.928,193.9517
65.369,196.8504
65.811,200.6137
66.253,200.1731
66.694,195.4229
67.136,194.9388
