Distance_(µm),Gray_Value
0.000,205.0000
0.444,206.3237
0.889,202.4388
1.333,205.2158
1.777,208.3597
2.222,207.1415
2.666,208.8273
3.110,213.0000
3.555,207.2302
3.999,211.0312
4.443,210.1871
4.888,207.8250
5.332,207.7122
5.776,214.4820
6.221,209.1295
6.665,207.7050
7.109,209.1823
7.554,206.0887
7.998,204.8657
8.443,202.1199
8.887,200.8585
9.331,202.4029
9.776,203.7722
10.220,205.3357
10.664,202.4245
11.109,205.8537
11.553,203.3765
11.997,198.8345
12.442,199.9305
12.886,198.0264
13.330,201.3717
13.775,206.7338
14.219,200.4916
14.663,200.7506
15.108,202.7098
15.552,205.3189
15.996,204.7554
16.441,202.7578
16.885,201.8441
17.329,201.5923
17.774,202.0312
18.218,210.3765
18.662,204.5420
19.107,197.2542
19.551,202.3214
19.995,204.9233
20.440,208.3189
20.884,206.7842
21.328,203.3813
21.773,205.3501
22.217,203.3333
22.662,196.7314
23.106,197.9233
23.550,203.1079
23.995,204.7074
24.439,200.9592
24.883,199.1103
25.328,199.6859
25.772,200.3837
26.216,202.5348
26.661,204.1055
27.105,209.8849
27.549,205.5947
27.994,203.4364
28.438,200.9568
28.882,208.2470
29.327,206.1823
29.771,201.3693
30.215,202.3261
30.660,199.3453
31.104,196.7146
31.548,196.4844
31.993,193.8705
32.437,198.2014
32.881,198.3981
33.326,203.1487
33.770,202.5108
34.214,206.8657
34.659,198.2374
35.103,199.8489
35.547,201.5348
35.992,196.4892
36.436,200.4125
36.881,201.9233
37.325,200.2782
37.769,200.4868
38.214,204.9496
38.658,213.5731
39.102,205.4700
39.547,203.9473
39.991,207.2182
40.435,205.6427
40.880,202.3549
41.324,201.9209
41.768,202.2542
42.213,203.3333
42.657,204.5396
43.101,205.4029
43.546,202.7170
43.990,200.4868
44.434,201.4053
44.879,203.1415
45.323,201.5156
45.767,197.6547
46.212,199.1727
46.656,202.2902
47.100,203.5995
47.545,203.8729
47.989,200.9952
48.433,201.0384
48.878,207.7746
49.322,206.9257
49.766,202.8729
50.211,206.3405
50.655,198.3741
51.100,200.3645
51.544,197.2206
51.988,200.7722
52.433,202.6355
52.877,206.0959
53.321,201.0911
53.766,205.1871
54.210,204.2446
54.654,207.5635
55.099,199.3333
55.543,204.4652
55.987,202.9185
56.432,195.0120
56.876,197.2278
57.320,202.0959
57.765,203.8153
58.209,201.1031
58.653,201.6667
59.098,206.0911
59.542,203.6403
59.986,201.0072
60.431,201.1319
60.875,199.3237
61.319,202.2614
61.764,206.0000
62.208,203.5659
62.652,204.6667
63.097,200.4053
63.541,202.7698
63.985,201.4484
64.430,202.4077
64.874,202.7986
65.318,206.6547
65.763,198.8321
66.207,198.5300
66.652,206.1031
67.096,205.0911
67.540,202.4149
67.985,206.3933
68.429,204.0839
68.873,202.2326
69.318,206.2590
69.762,210.3573
70.206,200.7002
70.651,202.0959
71.095,204.2878
71.539,204.0504
71.984,200.5564
72.428,203.3214
72.872,201.3333
73.317,202.4556
73.761,198.7578
74.205,201.6859
74.650,202.4724
75.094,198.8345
75.538,203.3645
75.983,206.6139
76.427,200.9592
76.871,197.0863
77.316,203.0120
77.760,209.3046
78.204,207.7362
78.649,206.4532
79.093,205.0168
79.537,198.6475
79.982,201.7098
80.426,202.6739
80.871,200.7146
81.315,203.9448
81.759,203.0384
82.204,207.5587
82.648,205.2350
83.092,204.7146
83.537,202.2518
83.981,204.3861
84.425,201.2662
84.870,200.3405
85.314,197.6619
85.758,201.7842
86.203,201.4868
86.647,203.0839
87.091,200.3070
87.536,196.6667
87.980,198.5156
88.424,203.3477
88.869,206.2590
89.313,206.4053
89.757,203.1655
90.202,198.8609
90.646,199.2470
91.090,199.5516
91.535,198.8825
91.979,203.0863
92.423,199.7026
92.868,200.6523
93.312,205.2974
93.756,208.2374
94.201,208.2806
94.645,201.6019
95.090,196.9928
95.534,202.4364
95.978,207.1175
96.423,204.9664
96.867,204.8321
97.311,204.9880
97.756,206.2278
98.200,204.3405
98.644,203.1487
99.089,204.7362
99.533,203.8154
99.977,204.5372
100.422,209.3333
100.866,205.2902
101.310,202.4916
101.755,208.4700
102.199,202.2302
102.643,200.6763
103.088,203.5540
103.532,206.2542
103.976,203.4556
104.421,209.9353
104.865,204.7986
105.309,206.3837
105.754,205.4652
106.198,206.8297
106.642,201.3070
107.087,201.7314
107.531,201.1127
107.975,203.4580
108.420,203.1775
108.864,207.0911
109.309,201.7674
109.753,200.4197
110.197,202.4388
110.642,205.1966
111.086,200.4532
111.530,200.9473
111.975,203.3789
112.419,204.3213
112.863,204.7218
113.308,204.6667
113.752,201.5108
114.196,206.1319
114.641,205.0000
115.085,207.0935
115.529,203.6906
115.974,202.8154
116.418,204.3069
116.862,206.2878
117.307,204.2014
117.751,203.1871
118.195,206.6211
118.640,204.2110
119.084,203.8106
119.528,203.1847
119.973,204.8969
120.417,204.0647
120.861,203.3046
121.306,205.6451
121.750,205.4676
122.194,206.9281
122.639,204.1607
123.083,204.3477
123.528,201.0000
123.972,204.2710
124.416,199.8849
124.861,200.1727
125.305,199.8657
125.749,202.9784
126.194,202.4484
126.638,206.1295
127.082,202.7962
127.527,202.4077
127.971,204.8489
128.415,208.0144
128.860,204.6427
129.304,212.5851
129.748,203.5995
130.193,198.9017
130.637,203.8969
131.081,208.3861
131.526,208.7890
131.970,208.2446
132.414,204.0000
132.859,201.6906
133.303,199.0168
133.747,202.6595
134.192,199.9448
134.636,204.1990
135.080,204.3765
135.525,205.5012
135.969,201.1343
136.413,200.6403
136.858,206.6139
137.302,204.0000
137.746,206.8465
138.191,210.0839
138.635,203.3981
139.080,206.9760
139.524,205.0647
139.968,200.6235
140.413,204.4268
140.857,205.5612
141.301,201.5060
141.746,202.7770
142.190,194.9161
142.634,200.1751
143.079,201.8009
143.523,203.3909
143.967,202.3717
144.412,203.2374
144.856,206.0719
145.300,208.5516
145.745,203.4556
146.189,207.2686
146.633,205.0072
147.078,202.6499
147.522,202.3357
147.966,204.9856
148.411,202.1847
148.855,205.4125
149.299,205.5036
149.744,204.0000
150.188,200.8058
150.632,205.1079
151.077,204.7026
151.521,201.1871
151.965,202.0264
152.410,208.7410
152.854,210.1823
153.299,200.4892
153.743,198.4916
154.187,206.6882
154.632,202.0240
155.076,204.3765
155.520,204.0000
155.965,203.1343
156.409,196.5180
156.853,198.4317
157.298,200.3741
157.742,203.9281
158.186,206.5444
158.631,204.1679
159.075,203.9257
159.519,206.7122
159.964,199.9328
160.408,205.9257
160.852,198.9161
161.297,200.7770
161.741,203.7626
162.185,205.0815
162.630,206.0216
163.074,210.1631
163.518,207.7650
163.963,209.0240
164.407,204.6859
164.851,203.3477
165.296,209.1391
165.740,202.9209
166.184,203.7458
166.629,202.7770
167.073,203.1703
167.518,205.2230
167.962,203.8369
168.406,203.9736
168.851,200.0528
169.295,205.3981
169.739,205.9904
170.184,207.3693
170.628,204.5587
171.072,207.2806
171.517,203.5180
171.961,200.7746
172.405,207.3597
172.850,208.7362
173.294,204.4460
173.738,205.8393
174.183,205.0672
174.627,206.5156
175.071,202.0168
175.516,203.4341
175.960,205.3261
176.404,207.4700
176.849,204.2398
177.293,209.0504
177.737,206.0671
178.182,204.9209
178.626,203.4509
179.070,204.9952
179.515,202.7074
179.959,203.7818
180.403,202.7890
180.848,205.1894
181.292,203.7842
181.736,207.1295
182.181,203.4652
182.625,200.8681
183.070,202.9976
183.514,206.1799
183.958,207.5516
184.403,206.2854
184.847,206.3237
185.291,204.6667
185.736,203.6235
186.180,203.6954
186.624,205.5372
187.069,207.9616
187.513,199.5276
187.957,204.0288
188.402,204.0336
188.846,204.5635
189.290,203.6859
189.735,205.9592
190.179,211.6835
190.623,208.7146
191.068,208.0000
191.512,209.9305
191.956,208.2422
192.401,205.1031
192.845,207.8441
193.289,207.8873
193.734,211.8465
194.178,213.7026
194.622,208.2254
195.067,211.5108
195.511,204.6691
195.955,204.4796
196.400,210.8273
196.844,208.8705
197.289,204.7218
197.733,202.7506
198.177,204.3046
198.622,205.3118
199.066,207.8873
199.510,210.3022
199.955,210.7170
200.399,209.2638
200.843,206.5060
201.288,205.8513
201.732,205.0432
202.176,207.5779
202.621,201.9592
203.065,203.3645
203.509,206.5468
203.954,211.7578
204.398,204.1583
204.842,204.1559
205.287,202.3717
205.731,204.4604
206.175,207.0887
206.620,207.0552
207.064,206.7266
207.508,202.7074
207.953,206.9568
208.397,210.0791
208.841,207.1583
209.286,206.0743
209.730,209.4580
210.174,207.2782
210.619,204.3070
211.063,207.0576
211.508,207.9688
211.952,209.1055
212.396,206.3405
212.841,203.4412
213.285,202.1966
213.729,202.6763
214.174,205.0647
214.618,208.0504
215.062,203.4652
215.507,202.4125
215.951,205.3333
216.395,208.9832
216.840,209.3046
217.284,208.0000
217.728,205.0168
218.173,202.3333
218.617,200.4916
219.061,206.1247
219.506,200.4053
219.950,204.6595
220.394,207.4844
220.839,209.1823
221.283,204.1103
221.727,202.7722
222.172,205.7866
222.616,207.1679
223.060,203.0743
223.505,205.5204
223.949,204.3333
224.393,205.4916
224.838,205.8537
225.282,205.6835
225.727,208.8010
226.171,207.4604
226.615,200.5923
227.060,206.3118
227.504,206.4341
227.948,206.3046
228.393,207.8681
228.837,211.8130
229.281,207.1823
229.726,205.3573
230.170,202.9065
230.614,206.5324
231.059,208.3333
231.503,207.5276
231.947,206.4748
232.392,211.0432
232.836,208.4868
233.280,211.0048
233.725,204.9928
234.169,206.5827
234.613,210.2734
235.058,214.3525
235.502,206.4604
235.946,201.2134
236.391,203.6427
236.835,203.9161
237.279,203.2446
237.724,206.4868
238.168,211.1871
238.612,211.3597
239.057,207.2710
239.501,205.2974
239.946,210.3837
240.390,212.2422
240.834,210.0647
241.279,207.3333
241.723,212.5396
242.167,217.8753
242.612,213.7554
243.056,213.6235
243.500,209.0384
243.945,209.4700
244.389,206.2878
244.833,208.1463
245.278,207.1918
245.722,209.4341
246.166,208.5060
246.611,212.9281
247.055,212.6667
247.499,212.3237
247.944,211.2662
248.388,214.7842
248.832,210.4365
249.277,211.4988
249.721,212.0456
250.165,212.6307
250.610,213.7962
251.054,214.5995
251.498,211.3285
251.943,211.8585
252.387,210.8849
252.831,214.2926
253.276,211.7266
253.720,210.4173
254.165,210.8969
254.609,210.7098
255.053,209.1367
255.498,214.7290
255.942,213.3741
256.386,212.7602
256.831,211.6667
257.275,216.0048
257.719,211.6739
258.164,214.8010
258.608,215.9976
259.052,222.5540
259.497,217.4029
259.941,214.5827
260.385,216.2422
260.830,221.6763
261.274,218.9424
261.718,219.7914
262.163,216.9784
262.607,218.0120
263.051,215.0480
263.496,218.0216
263.940,216.6930
264.384,213.8441
264.829,214.7578
265.273,217.1103
265.717,215.1319
266.162,218.7482
266.606,216.9113
267.050,217.9592
267.495,214.6619
267.939,218.5204
268.383,215.0000
268.828,214.4365
269.272,215.7602
269.717,217.3573
270.161,212.2542
270.605,212.9041
271.050,218.8873
271.494,216.4868
271.938,216.3525
272.383,217.1199
272.827,213.3837
273.271,210.7242
273.716,214.5468
274.160,218.0000
274.604,217.8561
275.049,216.6667
275.493,215.0791
275.937,218.1942
276.382,215.1007
276.826,219.1079
277.270,215.0647
277.715,214.0072
278.159,216.6739
278.603,220.7314
279.048,214.7026
279.492,223.4149
279.936,220.8705
280.381,217.8513
280.825,217.9065
281.269,214.7746
281.714,216.4077
282.158,221.9233
282.602,212.4412
283.047,217.3309
283.491,217.6667
283.936,217.2782
284.380,212.5827
284.824,216.9257
285.269,215.7458
285.713,214.9904
286.157,214.8249
286.602,219.5851
287.046,216.1583
287.490,212.7386
287.935,213.5683
288.379,220.0192
288.823,214.3141
289.268,214.7554
289.712,215.2878
290.156,218.9233
290.601,215.6403
291.045,217.9305
291.489,218.6667
291.934,219.4532
292.378,215.7626
292.822,219.7962
293.267,221.3357
293.711,218.3405
294.155,214.2494
294.600,214.7410
295.044,218.1079
295.488,217.8945
295.933,217.8873
296.377,218.7170
296.821,216.3165
297.266,221.0504
297.710,215.9209
298.155,215.4173
298.599,220.3261
299.043,219.4341
299.488,220.2182
299.932,225.1367
300.376,223.0264
300.821,219.0623
301.265,216.4964
301.709,219.5372
302.154,214.9544
302.598,219.5372
303.042,220.6235
303.487,217.0120
303.931,217.0000
304.375,221.8561
304.820,217.2590
305.264,216.4604
305.708,215.2686
306.153,220.6547
306.597,219.0695
307.041,215.9233
307.486,216.1031
307.930,220.0647
308.374,220.3429
308.819,220.0000
309.263,222.3333
309.707,220.8010
310.152,219.7386
310.596,222.8465
311.040,217.2350
311.485,219.0000
311.929,216.8321
312.374,218.8729
312.818,217.0983
313.262,220.7194
313.707,222.7722
314.151,221.8058
314.595,218.3573
315.040,216.9137
315.484,220.6067
315.928,222.0264
316.373,216.1703
316.817,223.0743
317.261,221.0600
317.706,216.4844
318.150,215.5276
318.594,218.6835
319.039,220.0120
319.483,219.5396
319.927,218.1319
320.372,223.8297
320.816,222.3333
321.260,223.1439
321.705,218.6954
322.149,219.1367
322.593,218.6667
323.038,215.6091
323.482,217.6906
323.926,219.6667
324.371,218.3237
324.815,221.9640
325.259,219.4940
325.704,218.1511
326.148,222.7074
326.592,224.7170
327.037,220.1031
327.481,218.9376
327.926,222.7146
328.370,223.4772
328.814,220.7842
329.259,221.0048
329.703,220.3237
330.147,216.9592
330.592,217.0048
331.036,217.0168
331.480,219.5995
331.925,220.0815
332.369,218.5420
332.813,219.5923
333.258,213.2086
333.702,215.5468
334.146,214.1871
334.591,218.8345
335.035,219.6355
335.479,217.3046
335.924,212.7890
336.368,209.6115
336.812,214.8849
337.257,224.8417
337.701,216.8609
338.145,214.6523
338.590,215.8465
339.034,219.0216
339.478,221.3261
339.923,216.0288
340.367,213.4772
340.811,216.3333
341.256,220.2326
341.700,220.3333
342.145,218.8250
342.589,223.7602
343.033,218.2158
343.478,221.3669
343.922,219.7434
344.366,221.6355
344.811,221.2254
345.255,221.8201
345.699,219.2590
346.144,220.7650
346.588,222.2542
347.032,221.5252
347.477,220.5827
347.921,224.2230
348.365,219.6906
348.810,221.6235
349.254,218.6427
349.698,217.9520
350.143,218.9808
350.587,220.9448
351.031,216.8657
351.476,214.8585
351.920,214.9233
352.364,223.7698
352.809,223.4532
353.253,220.9760
353.697,221.4580
354.142,221.4676
354.586,218.8873
355.030,221.1535
355.475,216.5612
355.919,215.0000
356.364,214.1583
356.808,219.0719
357.252,217.5228
357.697,215.1103
358.141,216.7314
358.585,218.7962
359.030,219.2494
359.474,219.4269
359.918,219.9880
360.363,219.1175
360.807,216.1607
361.251,222.4341
361.696,216.5204
362.140,217.4221
362.584,222.7050
363.029,225.2734
363.473,220.7962
363.917,225.9089
364.362,221.2662
364.806,218.1895
365.250,217.0216
365.695,217.0336
366.139,217.6211
366.583,217.2278
367.028,217.6283
367.472,220.8297
367.916,218.5683
368.361,222.5708
368.805,218.0767
369.249,215.4053
369.694,213.3333
370.138,219.3046
370.582,221.3333
371.027,222.3189
371.471,217.0288
371.916,219.1007
372.360,219.1151
372.804,219.7362
373.249,217.7410
373.693,223.3333
374.137,218.3981
374.582,217.5875
375.026,218.3333
375.470,218.6499
375.915,213.7242
376.359,213.8537
376.803,214.1319
377.248,216.9736
377.692,217.0791
378.136,223.1103
378.581,221.0384
379.025,219.8441
379.469,221.3237
379.914,221.7914
380.358,216.7890
380.802,220.4389
381.247,217.4245
381.691,221.5875
382.135,218.9640
382.580,217.7602
383.024,214.7362
383.468,217.8897
383.913,217.3789
384.357,220.6619
384.801,217.7242
385.246,216.0767
385.690,220.3405
386.135,223.0024
386.579,217.8034
387.023,220.9185
387.468,214.1823
387.912,222.2926
388.356,221.2326
388.801,221.7002
389.245,219.6667
389.689,217.9041
390.134,216.5444
390.578,218.6643
391.022,218.4700
391.467,220.3237
391.911,213.6427
392.355,216.3381
392.800,213.4149
393.244,215.5755
393.688,216.5923
394.133,221.8082
394.577,212.6331
395.021,209.6547
395.466,214.1199
395.910,218.1271
396.354,218.7218
396.799,221.2014
397.243,218.8945
397.687,215.3261
398.132,214.1079
398.576,219.9688
399.020,216.1583
399.465,215.4964
399.909,211.3357
400.354,216.8825
400.798,221.6235
401.242,222.9760
401.687,216.3405
402.131,218.9856
402.575,219.0120
403.020,215.9017
403.464,210.4532
403.908,210.5540
404.353,209.6235
404.797,215.0983
405.241,215.5444
405.686,217.6811
406.130,217.8489
406.574,219.8897
407.019,224.1799
407.463,222.6115
407.907,216.0839
408.352,218.0048
408.796,216.8705
409.240,217.1679
409.685,218.1775
410.129,227.3453
410.573,216.3765
411.018,215.6259
411.462,213.8633
411.906,217.7842
412.351,216.8417
412.795,218.8681
413.239,219.0815
413.684,222.1727
414.128,220.0168
414.573,220.3141
415.017,221.0887
415.461,220.6930
415.906,217.1391
416.350,221.8561
416.794,214.8082
417.239,212.9520
417.683,214.1343
418.127,222.2806
418.572,216.9640
419.016,220.5827
419.460,216.5012
419.905,214.2494
420.349,217.6691
420.793,219.8777
421.238,217.9209
421.682,221.3285
422.126,218.0168
422.571,217.3837
423.015,217.3885
423.459,221.4700
423.904,220.0935
424.348,221.8513
424.792,218.0600
425.237,215.8969
425.681,218.7050
426.125,224.3885
426.570,221.3765
427.014,221.4364
427.458,219.8417
427.903,226.1415
428.347,222.4820
428.792,218.5396
429.236,214.9328
429.680,219.4652
430.125,216.6643
430.569,217.7122
431.013,216.2038
431.458,218.6283
431.902,217.0096
432.346,217.6667
432.791,216.6667
433.235,221.2086
433.679,218.2038
434.124,218.0000
434.568,216.7146
435.012,221.0000
435.457,217.4341
435.901,218.1799
436.345,215.1175
436.790,217.7122
437.234,217.5252
437.678,220.2518
438.123,218.3765
438.567,221.3981
439.011,217.1103
439.456,219.0791
439.900,217.4221
440.344,217.8393
440.789,214.8177
441.233,218.5252
441.677,219.8058
442.122,222.7386
442.566,217.8849
443.010,219.7026
443.455,214.9736
443.899,223.2518
444.344,217.0576
444.788,217.7962
445.232,213.9161
445.677,214.8561
446.121,214.8201
446.565,215.7986
447.010,216.0336
447.454,218.3549
447.898,214.1415
448.343,216.9281
448.787,215.3118
449.231,215.2038
449.676,216.1703
450.120,226.6667
450.564,214.4101
451.009,213.6115
451.453,214.6019
451.897,217.1775
452.342,222.2350
452.786,222.0240
453.230,215.3837
453.675,218.7770
454.119,216.7866
454.563,217.4796
455.008,213.9329
455.452,214.1775
455.896,211.2494
456.341,214.1846
456.785,217.2230
457.229,218.2686
457.674,219.5803
458.118,224.8393
458.563,218.3645
459.007,213.9113
459.451,210.4748
459.896,213.7290
460.340,217.4268
460.784,221.6307
461.229,214.8177
461.673,216.2350
462.117,217.1535
462.562,213.2686
463.006,212.3477
463.450,225.2494
463.895,211.8106
464.339,210.1918
464.783,217.5324
465.228,225.9233
465.672,218.6403
466.116,217.4053
466.561,220.0719
467.005,221.4628
467.449,221.3333
467.894,221.5851
468.338,220.0024
468.782,221.8729
469.227,217.6739
469.671,217.4724
470.115,217.7050
470.560,221.0959
471.004,218.7554
471.448,219.7338
471.893,213.8537
472.337,214.8297
472.782,215.6595
473.226,217.7530
473.670,216.9113
474.115,222.4700
474.559,221.2110
475.003,219.6810
475.448,217.9233
475.892,218.9640
476.336,215.5156
476.781,220.0168
477.225,219.9065
477.669,220.2518
478.114,214.0000
478.558,216.1703
479.002,213.4964
479.447,217.5827
479.891,218.3165
480.335,220.6835
480.780,219.0527
481.224,221.1679
481.668,218.0552
482.113,219.2782
482.557,213.7482
483.001,219.6019
483.446,214.9161
483.890,213.8945
484.334,216.6115
484.779,215.0695
485.223,215.4796
485.667,225.3285
486.112,220.1727
486.556,219.4077
487.001,220.0000
487.445,219.5228
487.889,219.7194
488.334,223.1247
488.778,214.1391
489.222,213.9664
489.667,214.4772
490.111,215.0743
490.555,214.8729
491.000,219.4341
491.444,214.4029
491.888,218.5228
492.333,213.8849
492.777,218.3789
493.221,216.8849
493.666,214.3957
494.110,216.3333
