Distance_(µm),Gray_Value
0.000,172.6667
0.440,172.9354
0.880,171.8357
1.320,177.3850
1.760,176.6714
2.200,178.1385
2.640,177.6995
3.081,182.1326
3.521,188.1925
3.961,192.2970
4.401,195.8052
4.841,196.1397
5.281,199.6995
5.721,198.9601
6.161,207.0235
6.601,209.0129
7.041,202.7699
7.481,203.6667
7.921,205.6174
8.361,205.0047
8.801,207.7230
9.242,208.7758
9.682,207.1080
10.122,205.5399
10.562,206.4883
11.002,205.2793
11.442,202.9765
11.882,206.0059
12.322,202.6995
12.762,204.6385
13.202,203.3333
13.642,205.5458
14.082,207.4366
14.522,205.2570
14.962,204.4695
15.403,205.6667
15.843,202.5446
16.283,202.0305
16.723,204.8803
17.163,205.5622
17.603,200.3052
18.043,203.5188
18.483,206.0587
18.923,204.3333
19.363,198.2019
19.803,199.4542
20.243,205.9836
20.683,209.0916
21.123,204.1784
21.564,200.1960
22.004,203.2793
22.444,206.3404
22.884,202.4460
23.324,201.4894
23.764,204.7488
24.204,206.1749
24.644,209.2113
25.084,206.3157
25.524,202.2770
25.964,198.1678
26.404,198.2817
26.844,200.4566
27.285,199.9413
27.725,201.2606
28.165,194.8357
28.605,195.1960
29.045,196.0986
29.485,201.1537
29.925,206.2676
30.365,201.1678
30.805,196.7512
31.245,198.9167
31.685,203.1127
32.125,204.4777
32.565,197.8380
33.005,198.2430
33.446,199.3521
33.886,205.5704
34.326,200.2042
34.766,198.9425
35.206,200.4648
35.646,201.3826
36.086,199.4084
36.526,197.0235
36.966,193.9624
37.406,199.3286
37.846,200.1620
38.286,204.7934
38.726,202.4319
39.166,204.0340
39.607,205.3075
40.047,201.9354
40.487,203.4601
40.927,205.9707
41.367,201.3216
41.807,200.5458
42.247,204.5211
42.687,204.8568
43.127,200.2676
43.567,205.9906
44.007,199.9671
44.447,200.8556
44.887,196.0540
45.327,202.1467
45.768,201.6009
46.208,205.2430
46.648,201.9554
47.088,199.9765
47.528,203.5962
47.968,201.8017
48.408,198.6080
48.848,200.3967
49.288,202.8967
49.728,200.9613
50.168,201.9883
50.608,204.5927
51.048,205.8451
51.489,204.1338
51.929,201.2300
52.369,200.8416
52.809,200.1878
53.249,201.9566
53.689,202.0376
54.129,200.9472
54.569,200.9671
55.009,200.4671
55.449,199.4061
55.889,200.1948
56.329,199.7559
56.769,197.6103
57.209,199.3779
57.650,203.1984
58.090,202.0610
58.530,200.6502
58.970,201.6573
59.410,201.3333
59.850,201.5446
60.290,207.0786
60.730,200.7653
61.170,202.0704
61.610,202.1408
62.050,199.5528
62.490,204.5000
62.930,201.6115
63.370,201.7371
63.811,201.6667
64.251,198.6667
64.691,201.8826
65.131,202.5164
65.571,198.9566
66.011,200.7347
66.451,203.3333
66.891,206.4413
67.331,205.0270
67.771,199.6596
68.211,195.8192
68.651,198.5164
69.091,200.6702
69.531,201.1455
69.972,199.7312
70.412,201.9718
70.852,202.0575
71.292,205.5070
71.732,202.2465
72.172,195.9343
72.612,197.0470
73.052,199.5399
73.492,203.1995
73.932,200.1268
74.372,201.7899
74.812,199.0587
75.252,196.6455
75.692,200.3239
76.133,203.5164
76.573,202.5446
77.013,199.7477
77.453,199.0610
77.893,201.7441
78.333,195.5798
78.773,193.9390
79.213,202.9906
79.653,207.8803
80.093,204.5916
80.533,201.7770
80.973,203.2817
81.413,204.4953
81.854,196.7911
82.294,196.1690
82.734,200.2864
83.174,204.6784
83.614,200.0000
84.054,200.7512
84.494,198.4742
84.934,198.4660
85.374,198.2817
85.814,199.0786
86.254,201.7136
86.694,203.0423
87.134,199.4390
87.574,196.3568
88.015,200.7089
88.455,202.4108
88.895,204.1878
89.335,198.6291
89.775,199.2300
90.215,201.3063
90.655,197.5869
91.095,202.1185
91.535,199.7700
91.975,201.3333
92.415,202.9695
92.855,205.2371
93.295,200.7136
93.735,199.1667
94.176,194.9225
94.616,201.5927
95.056,200.5258
95.496,199.0516
95.936,202.2606
96.376,201.0070
96.816,197.8404
97.256,199.0728
97.696,200.4836
98.136,207.1491
98.576,203.2207
99.016,200.4988
99.456,204.1714
99.896,204.3099
100.337,204.2770
100.777,196.9836
101.217,203.0329
101.657,199.9988
102.097,198.1643
102.537,199.5646
102.977,202.1596
103.417,203.6667
103.857,204.3568
104.297,208.7124
104.737,201.3028
105.177,202.3509
105.617,201.7324
106.058,200.6573
106.498,202.3615
106.938,201.7394
107.378,203.7934
107.818,201.2887
108.258,202.4483
108.698,202.0704
109.138,199.9108
109.578,200.6667
110.018,199.4624
110.458,200.9906
110.898,197.9202
111.338,201.6068
111.778,202.0376
112.219,203.4824
112.659,200.4883
113.099,199.9836
113.539,203.3333
113.979,204.4002
114.419,201.4742
114.859,200.3087
115.299,201.9131
115.739,201.8991
116.179,199.1362
116.619,201.5458
117.059,201.4883
117.499,199.6643
117.939,200.0939
118.380,200.3521
118.820,200.4014
119.260,203.3251
119.700,205.4178
120.140,207.7629
120.580,206.2160
121.020,205.6502
121.460,201.9014
121.900,202.9589
122.340,197.5963
122.780,198.9308
123.220,197.5915
123.660,199.2465
124.100,199.8193
124.541,204.3333
124.981,206.6667
125.421,203.6139
125.861,202.3333
126.301,204.5798
126.741,198.9249
127.181,202.9014
127.621,203.7019
128.061,202.5845
128.501,201.7653
128.941,199.2277
